	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	1.2671296125	-1.05936768205	-1.84672915038	-1.99748680302	-1.45440188097	-0.0969572355839	-1.04403015249	0.132227241501	0.226709618753	-0.540918976996	-0.560819657	-1.62174635139	-0.741747007893	-2.71049143492	-3.47898889485	-0.852561196599	-0.390048868566	-0.4700134114
a	-1.05936768205	2.19733084802	0.0993147053377	-1.85137583772	-2.08794211434	-0.657008997151	-1.6785598595	-0.852733479182	-0.889326302814	-0.64889331432	-0.48650621376	-2.19294899194	-1.16505534511	-1.0669279181	-3.08102152965	-0.90128658305	-0.814762845156	-0.516111494471
q	-1.84672915038	0.0993147053377	4.93270746258	-2.92213099318	-2.98615524385	-2.0821275344	-1.96078143632	-1.86093850664	-1.67513849332	-0.0879542960308	-1.21822502274	-2.83465764127	-2.08592008933	-2.82496418272	-0.735581796691	-1.56798643889	-2.11545052667	-1.31552436212
x	-1.99748680302	-1.85137583772	-2.92213099318	2.59476114334	0.218320026126	0.300409214083	-1.39795707662	-0.338462646161	-0.377611809013	-0.932659381628	-0.942996214976	-2.24414535269	-1.67736779453	-3.37935229467	-3.53305834614	0.0856427002935	0.0404025646118	-0.125599453684
s	-1.45440188097	-2.08794211434	-2.98615524385	0.218320026126	5.64044910851	2.38581701488	-0.976231723665	0.0570523389913	0.0586762587458	-0.654300237416	-1.02623977626	-1.74266971337	-1.71798157546	-3.2562434109	-3.31109846564	-0.0598192902354	0.608448206353	1.45837970488
w	-0.0969572355839	-0.657008997151	-2.0821275344	0.300409214083	2.38581701488	8.09305726607	0.811744183729	1.49829106315	2.84980104945	0.185688228154	-1.23516682007	-0.0298356832149	-1.16154363207	-3.01894226565	-3.83676913453	0.0191727945836	0.610741213481	2.53328414009
c	-1.04403015249	-1.6785598595	-1.96078143632	-1.39795707662	-0.976231723665	0.811744183729	3.5140421378	1.08691944958	1.18504355281	0.516238141011	-0.447150344094	-1.1196919633	-1.29263565683	-3.08430752462	-3.56344567272	0.386843304991	0.143569329714	-0.0327893416579
d	0.132227241501	-0.852733479182	-1.86093850664	-0.338462646161	0.0570523389913	1.49829106315	1.08691944958	5.52144697558	2.40760085054	0.34631253946	-0.246736523694	-0.050016457902	-0.62569496048	-2.75984410074	-3.23424435159	0.172017152085	1.02757379739	1.21676836272
e	0.226709618753	-0.889326302814	-1.67513849332	-0.377611809013	0.0586762587458	2.84980104945	1.18504355281	2.40760085054	5.65976740728	0.599349082607	0.197010553101	0.298850628764	-0.138224973303	-2.24522694785	-3.67482737268	0.989011717737	1.67467372512	1.99014300584
b	-0.540918976996	-0.64889331432	-0.0879542960308	-0.932659381628	-0.654300237416	0.185688228154	0.516238141011	0.34631253946	0.599349082607	4.81877431075	0.448347434819	-0.819978774439	-0.610807000502	-2.22935353515	-3.07362456676	-0.337833108078	-0.0591817084954	-0.242086644741
g	-0.560819657	-0.48650621376	-1.21822502274	-0.942996214976	-1.02623977626	-1.23516682007	-0.447150344094	-0.246736523694	0.197010553101	0.448347434819	5.11506669866	-0.101854469545	0.866380568336	0.672530275332	1.16366570353	1.77687407407	1.52486417623	1.20792967985
t	-1.62174635139	-2.19294899194	-2.83465764127	-2.24414535269	-1.74266971337	-0.0298356832149	-1.1196919633	-0.050016457902	0.298850628764	-0.819978774439	-0.101854469545	2.56177904961	-0.290601265848	-1.67174320007	-3.17578281904	-0.0468666011197	0.461187073099	0.598581785964
v	-0.741747007893	-1.16505534511	-2.08592008933	-1.67736779453	-1.71798157546	-1.16154363207	-1.29263565683	-0.62569496048	-0.138224973303	-0.610807000502	0.866380568336	-0.290601265848	3.41591500173	0.03249753688	-0.536972468132	0.877916842568	1.10910112008	0.925121448876
f	-2.71049143492	-1.0669279181	-2.82496418272	-3.37935229467	-3.2562434109	-3.01894226565	-3.08430752462	-2.75984410074	-2.24522694785	-2.22935353515	0.672530275332	-1.67174320007	0.03249753688	2.77639898035	-0.298943365577	-0.981033134641	-0.926547963271	-1.16793106711
r	-3.47898889485	-3.08102152965	-0.735581796691	-3.53305834614	-3.31109846564	-3.83676913453	-3.56344567272	-3.23424435159	-3.67482737268	-3.07362456676	1.16366570353	-3.17578281904	-0.536972468132	-0.298943365577	4.74194959706	-0.237107126898	-1.2453548861	0.232600614509
n	-0.852561196599	-0.90128658305	-1.56798643889	0.0856427002935	-0.0598192902354	0.0191727945836	0.386843304991	0.172017152085	0.989011717737	-0.337833108078	1.77687407407	-0.0468666011197	0.877916842568	-0.981033134641	-0.237107126898	5.44431859045	3.24429045828	2.50529412294
h	-0.390048868566	-0.814762845156	-2.11545052667	0.0404025646118	0.608448206353	0.610741213481	0.143569329714	1.02757379739	1.67467372512	-0.0591817084954	1.52486417623	0.461187073099	1.10910112008	-0.926547963271	-1.2453548861	3.24429045828	6.12829621043	3.21306837238
y	-0.4700134114	-0.516111494471	-1.31552436212	-0.125599453684	1.45837970488	2.53328414009	-0.0327893416579	1.21676836272	1.99014300584	-0.242086644741	1.20792967985	0.598581785964	0.925121448876	-1.16793106711	0.232600614509	2.50529412294	3.21306837238	7.68650286572
